a52dec 0.7.4-10
haskell-persistent-sqlite 2.10.5-50
haskell-persistent-template 2.7.3-29
haskell-polyparse 1.12.1-5
haskell-primitive 0.6.4.0-6
haskell-profunctors 5.5.1-6
haskell-project-template 0.2.0.1-189
haskell-quickcheck 2.13.2-12
haskell-random 1.1-17
haskell-regex-applicative 0.3.3.1-1
haskell-regex-applicative-text 0.1.0.1-16
haskell-regex-base 0.93.2-38
haskell-regex-tdfa 1.2.3.2-1
haskell-resource-pool 0.2.3.2-84
haskell-resourcet 1.2.2-34
haskell-retry 0.8.1.0-10
haskell-rio 0.1.12.0-8
haskell-rio-orphans 0.1.1.0-48
haskell-rio-prettyprint 0.1.0.0-16
haskell-safe 0.3.18-1
haskell-safe-exceptions 0.1.7.0-61
haskell-scientific 0.3.6.2-13
haskell-semigroupoids 5.3.4-4
haskell-shelly 1.8.1-77
haskell-silently 1.2.5.1-2
haskell-socks 0.6.1-7
haskell-split 0.2.3.3-27
haskell-splitmix 0.0.3-9
haskell-statevar 1.1.1.1-6
haskell-stm-chans 3.0.0.4-16
haskell-stmonadtrans 0.4.4-12
haskell-streaming-commons 0.2.1.2-1
haskell-strict 0.3.2-13
haskell-syb 0.7.1-1
haskell-system-fileio 0.3.16.4-31
haskell-system-filepath 0.4.14-36
haskell-tagged 0.8.6-6
haskell-tar 0.5.1.1-1
haskell-tar-conduit 0.3.2-36
haskell-temporary 1.3-44
haskell-terminal-size 0.3.2.1-13
haskell-text-metrics 0.3.0-41
haskell-th-abstraction 0.3.1.0-1
haskell-th-expand-syns 0.4.5.0-1
haskell-th-lift 0.8.0.1-1
haskell-th-lift-instances 0.1.14-7
haskell-th-orphans 0.13.9-7
haskell-th-reify-many 0.1.9-5
haskell-th-utilities 0.2.3.1-8
haskell-time-compat 1.9.2.2-18
haskell-tls 1.4.1-93
haskell-transformers-base 0.4.5.2-52
haskell-transformers-compat 0.6.5-1
haskell-type-equality 1-1
haskell-typed-process 0.2.6.0-11
haskell-unicode-transforms 0.3.6-1
haskell-unix-compat 0.5.2-1
haskell-unix-time 0.4.7-14
haskell-unliftio 0.2.12-11
haskell-unliftio-core 0.1.2.0-6
haskell-unordered-containers 0.2.10.0-24
haskell-uri-encode 1.5.0.5-13
haskell-utf8-string 1.0.1.1-13
haskell-uuid-types 1.0.3-20
haskell-vector 0.12.0.3-22
haskell-vector-algorithms 0.8.0.3-6
haskell-void 0.7.3-1
haskell-x509 1.7.5-40
haskell-x509-store 1.6.7-39
haskell-x509-system 1.6.6-107
haskell-x509-validation 1.6.11-39
haskell-yaml 0.11.2.0-19
haskell-zip-archive 0.4.1-21
haskell-zlib 0.6.2.1-1
hdf5 1.10.5-1
hicolor-icon-theme 0.17-1
hspell 1.4-2
htop 2.2.0-3
http-parser 2.9.2-1
hunspell 1.7.0-2
hwids 20191025-2
hwloc 2.1.0-2
hyphen 2.8.8-2
i2c-tools 4.1-3
i3-gaps 4.17.1-1
i3blocks 1.5-3
i3blocks-contrib 1.4.0-2
i3lock 2.12-1
i3status 2.13-2
iana-etc 20200117-1
icu 65.1-2
igraph 0.8.0-1
ijs 0.35-2
imagemagick 7.0.9.21-1
iml 1.0.5-2
imlib2 1.6.1-1
inetutils 1.9.4-8
iniparser 4.1-1
insomnia 7.0.6-1
intel-gmmlib 19.4.1-1
intel-media-driver 19.4.0.r-1
intel-media-sdk 19.4.0-4
intel-tbb 2020.1-1
intltool 0.51.0-4
iotop 0.6-7
iproute2 5.5.0-1
iptables 1:1.8.4-1
iputils 20190709-2
ipython 7.12.0-1
ipython2 5.9.0-1
iso-codes 4.4-1
itstool 1:2.0.6-1
j4-dmenu-desktop 2.17-1
jack 0.125.0-8
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-2
java-runtime-common 3-2
javascript-typescript-langserver 2.11.3-1
jbig2dec 0.17-1
jdk-openjdk 13.0.2.u8-1
jemalloc 1:5.2.1-1
jfsutils 1.1.15-7
jq 1.6-2
jre-openjdk 13.0.2.u8-1
jre-openjdk-headless 13.0.2.u8-1
js60 60.9.0-1
jsmol 14.30.2-1
json-c 0.13.1-3
json-glib 1.4.4-1
jsoncpp 1.9.1-1
jsonrpc-glib 3.34.0-1
julia 2:1.3.1-1
julia-compat 3.0.0-1
julia-conda 1.3.0-2
julia-datastructures 0.17.6-1
julia-fixedpointnumbers 0.6.1-2
julia-loadpath 1.0.1-1
julia-offsetarrays 0.11.4-1
julia-orderedcollections 1.1.0-2
julia-parsers 0.3.10-1
jupyter 4.1.0-7
jupyter-nbconvert 5.6.1-1
jupyter-nbformat 4.4.0-4
jupyter-notebook 6.0.2-1
jupyter-widgetsnbextension 1:3.5.1-1
jupyter_console 6.1.0-1
jupyter_nbextensions_configurator 0.4.1-1
jupyterlab 1.2.6-1
jupyterlab_server 1.0.6-3
jxrlib 0.2.1-3
kaccounts-integration 19.12.2-1
kactivities 5.66.0-1
kactivities-stats 5.66.0-1
karchive 5.66.0-1
kauth 5.66.0-1
kbd 2.2.0-5
kbookmarks 5.66.0-1
kcmutils 5.66.0-1
kcodecs 5.66.0-1
kcompletion 5.66.0-1
kconfig 5.66.0-1
kconfigwidgets 5.66.0-1
kcontacts 1:5.66.0-1
kcoreaddons 5.66.0-1
kcrash 5.66.0-1
kdbusaddons 5.66.0-1
kde-cli-tools 5.17.5-1
kdeclarative 5.66.0-1
kdeconnect 1.4-1
kdesu 5.66.0-1
kdnssd 5.66.0-1
keepassxc 2.5.3-1
keyutils 1.6.1-3
kfilemetadata 5.66.0-1
kglobalaccel 5.66.0-1
kguiaddons 5.66.0-1
ki18n 5.66.0-1
kiconthemes 5.66.0-1
kidletime 5.66.0-1
kind-bin 0.7.0-1
kinit 5.66.0-1
kio 5.66.0-1
kio-extras 19.12.2-1
kirigami2 5.66.0-1
kitemmodels 5.66.0-1
kitemviews 5.66.0-1
kitty 0.16.0-1
kitty-terminfo 0.16.0-1
kjobwidgets 5.66.0-1
kjs 5.66.0-1
kmod 26-3
knewstuff 5.66.0-1
knotifications 5.66.0-1
kpackage 5.66.0-1
kparts 5.66.0-1
kpeople 5.66.0-1
kpeoplevcard 0.1-1
kpty 5.66.0-1
krb5 1.17.1-1
krita 4.2.8.2-2
kservice 5.66.0-1
ktexteditor 5.66.0-1
ktextwidgets 5.66.0-1
kwallet 5.66.0-2
kwayland 5.66.0-1
kwidgetsaddons 5.66.0-1
kwindowsystem 5.66.0-1
kxmlgui 5.66.0-1
l-smash 2.14.5-1
labplot 2.7.0-2
lame 3.100-2
lapack 3.9.0-2
lcalc 1.23-19
lcms2 2.9-2
ldb 1:1.5.6-2
ldns 1.7.1-2
lector 0.5.1-1
less 551-3
lhasa 0.3.1-2
lib32-gcc-libs 9.2.0-4
lib32-glibc 2.30-3
libabw 0.1.3-1
libaccounts-glib 1.24-3
libaccounts-qt 1.16-1
libaec 1.0.4-1
libaio 0.3.112-2
libao 1.2.2-2
libappindicator-gtk2 12.10.0-13
